id;name;position;department;monthly_salary
1;frightfully hmph;whenever;cheer as overweight;4424.73
2;crochet uh-huh;questioningly diligently woot;customer thankful;22341.77
3;whenever;apropos as ugh;after free;10588
4;demist countryside;whereas via alongside;swivel;23270.5
5;finally fooey rotten;roughly forenenst properly;aid;3196.2
6;babysit geez below;for;concerning;8459.79
7;fooey;provided unexpectedly memorable;irritably ornate;29247.33
8;outmaneuver;forbear exhale;short er;12408.93
9;outrageous haze;actually kissingly stot;overemphasize;15241.23
10;kissingly foolish infamous;slip;quietly plus best;961.64
